COUNTRY,ALPHA SUPPORT,PRE-REGISTRATION REQUIREMENT
Afghanistan,No, 
Albania,Yes,No
Algeria,No, 
Andorra,Yes,No
Angola,Yes,No
Anguilla,Yes,No
Antigua & Barbuda,Yes,No
Argentina,No, 
Armenia,Yes,No
Aruba,Yes,No
Australia,Yes,No
Austria,Yes,No
Azerbaijan,No, 
Bahamas,Yes,No
Bahrain,Yes,No
Bangladesh,No, 
Barbados,Yes,No
Belarus,Yes,Optional
Belgium,No, 
Belize,Yes,No
Benin,Yes,No
Bermuda,Yes,No
Bhutan,Yes,No
Bolivia,Yes,No
Bosnia & Herzegovina,Yes,No
Botswana,Yes,No
Brazil,No, 
Brunei Darussalam,Yes,No
Bulgaria,Yes,No
Burkina Faso,Yes,No
Burundi,Yes,No
Cambodia,Yes,No
Cameroon,Yes,No
Canada,No, 
Cape Verde,Yes,No
Cayman Islands,No, 
Central African Republic,Yes,No
Chad,Yes,No
Chile,No, 
China*,No, 
Colombia,No, 
Comoros,Yes,No
Congo,No, 
Congo D.R.,No, 
Cook Islands,Yes,No
Costa Rica,No, 
Croatia,No, 
Cuba,Yes,Required
Cyprus,Yes,No
Czech Republic,Yes,No
Denmark,Yes,No
Diego Garcia,No, 
Djibouti,Yes,No
Dominica,Yes,No
Dominican Republic,No, 
Ecuador,No, 
Egypt,Yes, 
El Salvador,No, 
Equatorial Guinea,Yes,No
Estonia,Yes,No
Falkland Islands,Yes,No
Faroe Islands,Yes,No
Fiji,Yes,No
Finland,Yes,No
France,Yes,No
French Guiana,No, 
French Polynesia,Yes,No
Gabon,Yes,No
Gambia,Yes,No
Georgia,Yes,No
Germany,Yes,No
Ghana,No, 
Gibraltar,Yes,No
Greece,Yes,No
Greenland,Yes,No
Grenada,Yes,No
Guadeloupe,Yes,No
Guam,No, 
Guatemala,No, 
Guernsey,Yes,No
Guinea,Yes,No
Guinea-Bissau,Yes,No
Guyana,Yes,No
Haiti,Yes,No
Honduras,No, 
Hong Kong,Yes,No
Hungary,No, 
Iceland,Yes,No
India,Yes,Required
Indonesia,Yes,Required
Iran,No, 
Iraq,No, 
Ireland,Yes,No
Isle of Man,Yes,No
Israel,Yes,No
Italy,Yes,No
Cote dIvoire,Yes,No
Jamaica,Yes,No
Japan,Yes (except for KDDI), 
Jersey,Yes,No
Jordan,Yes,Required
Kazakhstan,No, 
Kenya,No, 
Kuwait,No, 
Kyrgyzstan,No, 
Laos PDR,No, 
Latvia,Yes,No
Lebanon,Yes,No
Lesotho,Yes,No
Liberia,Yes,No
Libya,Yes,No
Liechtenstein,Yes,No
Lithuania,Yes,No
Luxembourg,Yes,No
Macau,Yes,No
Macedonia,Yes,No
Madagascar,Yes,No
Malawi,Yes,No
Malaysia,No, 
Maldives,Yes,No
Mali,No, 
Malta,Yes,No
Martinique,Yes,No
Mauritania,Yes,No
Mauritius,Yes,No
Mayotte,Yes,No
Mexico,No, 
Moldova,Yes,No
Monaco,No, 
Mongolia,Yes,No
Montenegro,Yes,No
Montserrat,Yes,No
Morocco,No, 
Mozambique,No, 
Myanmar,No, 
Namibia,No, 
Nauru,No, 
Nepal,No, 
Netherlands,Yes,No
Netherlands Antilles,Yes,No
New Caledonia,Yes,No
New Zealand,No, 
Nicaragua,No, 
Niger,Yes,No
Nigeria,Yes,No
Norfolk Island,Yes,No
Norway,Yes,No
Oman,Yes,Required
Pakistan,No, 
Palestinian Territory,Yes only for Jawwal Palestine,Required  
Panama,No, 
Papua New Guinea,Yes,No
Paraguay,Yes,No
Peru,Yes (except for Claro) ,No
Philippines,Yes,Required
Poland,Yes,No
Portugal,Yes,No
Puerto Rico,No, 
Qatar,No, 
Reunion,Yes,No
Romania,No, 
Russia,Yes,Optional
Rwanda,Yes,No
Samoa,Yes,No
San Marino,Yes,No
Sao Tome & Principe,Yes,No
Saudi Arabia,Yes,Required 
Senegal,Yes,No
Serbia,Yes,No
Seychelles,Yes,No
Sierra Leone,Yes,No
Singapore,Yes,No
Slovakia,Yes,No
Slovenia,Yes,No
Solomon Islands,Yes,No
Somalia,Yes,No
South Africa,No, 
South Korea,No, 
South Sudan,Yes,No
Spain,Yes,No
Sri Lanka,No, 
St Kitts & Nevis,Yes,No
St Lucia,Yes,No
St Vincent & the Grenadines,Yes,No
Sudan,Yes,No
Suriname,Yes,No
Swaziland,Yes,No
Sweden,Yes,No
Switzerland,Yes,No
Syria,No, 
Taiwan,No, 
Tajikistan,Yes,No
Tanzania,Yes,No
Thailand,Yes,Optional
Timor-Leste,Yes,No
Togo,Yes,No
Tonga,Yes,No
Trinidad & Tobago,Yes,No
Tunisia,No, 
Turkey,No, 
Turkmenistan,Yes,No
Turks & Caicos Islands,Yes,No
Uganda,Yes,No
Ukraine,Yes,No
United Arab Emirates,Yes,Required**
United Kingdom,Yes,No
United States,No, 
Uruguay,No, 
Uzbekistan,Yes,No
Vanuatu,Yes,No
Venezuela,No, 
Vietnam,No, 
Virgin Islands British,Yes,No
Yemen,Yes,No
Zambia,Yes,No
Zimbabwe,Yes,No